customer_id,age,gender,country
1,56,Male,UK
2,69,Female,Brazil
3,46,Female,USA
4,32,Male,Canada
5,60,Female,USA
6,25,Male,Canada
7,38,Other,UK
8,56,Male,Canada
9,36,Female,Egypt
10,40,Female,Egypt
11,28,Female,Brazil
12,28,Male,UK
13,41,Female,India
14,53,Male,Brazil
15,57,Male,Germany
16,41,Male,Germany
17,20,Female,UK
18,39,Female,Germany
19,19,Male,UK
20,41,Female,Canada
21,61,Female,India
22,47,Female,Egypt
23,55,Male,India
24,19,Female,UK
25,38,Female,India
26,50,Male,Germany
27,29,Female,Canada
28,39,Male,India
29,61,Male,Canada
30,42,Male,Germany
31,66,Male,Egypt
32,44,Female,Egypt
33,59,Male,Germany
34,45,Female,Canada
35,33,Male,USA
36,32,Female,India
37,64,Female,India
38,68,Female,UK
39,61,Female,UK
40,69,Female,Canada
41,20,Male,Brazil
42,54,Female,Germany
43,68,Female,Egypt
44,24,Female,Egypt
45,38,Female,USA
46,26,Female,Germany
47,56,Male,India
48,35,Female,Brazil
49,21,Male,Germany
50,42,Male,Brazil
51,31,Female,Germany
52,67,Male,Canada
53,26,Male,India
54,43,Female,India
55,19,Female,Germany
56,37,Female,Egypt
57,45,Female,Canada
58,64,Other,Egypt
59,24,Male,USA
60,61,Female,India
61,25,Male,Canada
62,64,Male,UK
63,52,Female,USA
64,31,Female,Germany
65,34,Male,USA
66,53,Male,UK
67,67,Female,India
68,57,Female,India
69,21,Female,Egypt
70,19,Male,India
71,23,Female,Canada
72,59,Male,Egypt
73,21,Male,UK
74,46,Female,USA
75,35,Female,Germany
76,43,Male,Germany
77,61,Male,Canada
78,51,Female,USA
79,27,Male,India
80,53,Male,Egypt
81,31,Male,Germany
82,48,Male,India
83,65,Male,Canada
84,32,Female,Brazil
85,25,Female,Brazil
86,31,Female,Canada
87,40,Female,Germany
88,57,Female,USA
89,38,Female,USA
90,33,Female,USA
91,62,Male,India
92,35,Female,Brazil
93,64,Male,India
94,41,Female,UK
95,43,Female,UK
96,42,Female,Germany
97,62,Female,UK
98,58,Male,USA
99,46,Male,Germany
100,32,Male,Brazil
101,62,Male,Egypt
102,18,Male,Brazil
103,42,Male,Canada
104,24,Male,UK
105,26,Other,Canada
106,41,Male,UK
107,18,Male,Brazil
108,61,Male,Canada
109,25,Female,UK
110,41,Male,UK
111,28,Female,India
112,68,Male,Egypt
113,34,Female,Egypt
114,25,Female,Brazil
115,52,Male,Brazil
116,52,Male,UK
117,50,Male,USA
118,22,Female,India
119,59,Male,USA
120,56,Female,UK
121,58,Female,Brazil
122,45,Female,Canada
123,24,Male,Canada
124,26,Male,USA
125,25,Female,Egypt
126,29,Female,Germany
127,51,Other,USA
128,50,Female,Brazil
129,65,Female,Egypt
130,40,Female,UK
131,41,Female,USA
132,54,Male,UK
133,52,Female,India
134,61,Male,Germany
135,57,Male,Canada
136,39,Female,Brazil
137,44,Male,Brazil
138,52,Male,UK
139,18,Male,Germany
140,52,Female,Egypt
141,54,Female,Brazil
142,64,Female,USA
143,31,Male,Brazil
144,20,Male,USA
145,18,Male,Brazil
146,22,Male,USA
147,43,Female,India
148,31,Male,UK
149,56,Male,Egypt
150,44,Male,Egypt
151,26,Male,India
152,32,Male,Canada
153,32,Female,Egypt
154,43,Female,USA
155,59,Female,Egypt
156,30,Female,UK
157,68,Male,Germany
158,49,Female,USA
159,56,Female,Canada
160,66,Male,Canada
161,69,Female,Canada
162,49,Female,Egypt
163,21,Male,Brazil
164,47,Female,Brazil
165,54,Female,Germany
166,40,Female,India
167,56,Female,USA
168,62,Male,Brazil
169,32,Male,Canada
170,60,Female,UK
171,46,Female,Germany
172,53,Female,India
173,30,Male,Canada
174,49,Male,India
175,24,Male,UK
176,68,Male,Egypt
177,39,Male,UK
178,45,Male,Egypt
179,19,Male,Germany
180,59,Male,UK
181,62,Male,Brazil
182,23,Other,India
183,45,Female,Canada
184,45,Male,Canada
185,61,Female,Egypt
186,61,Female,UK
187,37,Female,USA
188,47,Male,UK
189,28,Male,Canada
190,45,Female,Egypt
191,42,Male,India
192,56,Female,Brazil
193,50,Female,Canada
194,18,Other,Canada
195,44,Male,UK
196,69,Male,Brazil
197,30,Male,USA
198,58,Female,Egypt
199,20,Male,India
200,56,Female,Germany
201,23,Male,Canada
202,25,Male,Canada
203,44,Male,India
204,26,Female,Egypt
205,54,Female,Germany
206,50,Male,Germany
207,68,Female,India
208,59,Female,Egypt
209,61,Female,Germany
210,41,Female,Egypt
211,32,Male,Brazil
212,49,Male,USA
213,49,Female,UK
214,41,Male,Egypt
215,58,Male,Egypt
216,69,Male,Germany
217,66,Female,Canada
218,66,Male,Egypt
219,69,Female,Egypt
220,29,Male,Canada
221,56,Other,Germany
222,19,Male,India
223,20,Female,Egypt
224,66,Female,Canada
225,54,Female,Canada
226,66,Male,Brazil
227,34,Female,UK
228,66,Male,Egypt
